id,product_code,product_weight_kg,shelf_visibility,product_category,product_price,store_code,store_age_years,total_sales,store_format_Flagship Hypermarket,store_format_Standard Supermarket,store_format_Superstore,store_location_tier_Tier_2,store_location_tier_Tier_3,store_size_Medium,store_size_Small,fat_content_Regular,price_tier_Medium,price_tier_High,price_tier_Premium
row_00029,PRD-VTTR5G,13.707,0.0569,Breakfast,234.53,STORE-89Z,33,3050.74,False,True,False,False,False,True,False,True,False,False,True
row_00030,PRD-2YAZQT,15.428,0.0819,Frozen Foods,48.98,STORE-YLW,35,753.42,False,True,False,False,False,False,True,True,False,False,False
row_00031,PRD-Q8LYYX,11.265,0.0735,Frozen Foods,171.96,STORE-YLW,35,2442.31,False,True,False,False,False,False,True,True,False,True,False
row_00032,PRD-PZPHJM,16.71,0.166,SNACK FOODS,140.0,STORE-9RG,28,586.83,False,True,False,True,False,False,True,True,True,False,False
row_00035,PRD-S1R8NF,13.385,0.0266,SNACK FOODS,82.19,STORE-AGY,45,799.46,False,True,False,False,True,False,False,True,False,False,False
row_00036,PRD-0QD58X,17.104,0.0158,Breads,46.03,STORE-DKU,30,501.46,False,True,False,True,False,True,False,True,False,False,False
row_00038,PRD-99VH0W,7.73,0.0511,Fruits and Vegetables,75.49,STORE-DKU,30,453.78,False,True,False,True,False,True,False,False,False,False,False
row_00039,PRD-2SLHIM,20.799,0.0099,Meat,187.29,STORE-YLW,35,536.28,False,True,False,False,False,False,True,False,False,False,True
row_00040,PRD-NAMSQE,12.376,0.2992,BAKING GOODS,79.91,STORE-JOR,34,150.54,False,False,False,False,True,True,False,True,False,False,False
row_00043,PRD-6Z6CCC,8.763,0.1182,canned,95.64,STORE-AGY,45,1822.06,False,True,False,False,True,False,False,False,True,False,False
row_00044,PRD-IWHL8Z,7.594,0.0265,CANNED,148.02,STORE-9RG,28,2701.99,False,True,False,True,False,False,True,False,False,True,False
row_00046,PRD-HZXGUJ,8.078,0.0169,DAIRY,52.02,STORE-DKU,30,847.29,False,True,False,True,False,True,False,False,False,False,False
row_00047,PRD-P2S2O8,10.8,0.0229,Fruits and Vegetables,55.11,STORE-YLW,35,434.23,False,True,False,False,False,False,True,False,False,False,False
row_00048,PRD-ONGWUL,13.273,0.0406,household,255.41,STORE-OYG,25,3395.84,False,True,False,True,False,True,False,False,False,False,True
row_00050,PRD-8MX1EV,19.18,0.0147,Soft Drinks,51.69,STORE-OYG,25,915.3,False,True,False,True,False,True,False,False,False,False,False
row_00051,PRD-0FOH3H,14.28,0.0291,Dairy,142.14,STORE-AGY,45,3147.38,False,True,False,False,True,False,False,True,False,True,False
row_00052,PRD-8Q2Y4P,8.764,0.067,breakfast,54.58,STORE-89Z,33,682.75,False,True,False,False,False,True,False,True,False,False,False
row_00053,PRD-KFRZWZ,12.850875916323977,0.1239,Meat,53.67,STORE-T5G,47,312.81,False,False,False,False,False,False,True,False,False,False,False
row_00054,PRD-08I4W0,5.916,0.0792,Baking Goods,37.81,STORE-89Z,33,551.33,False,True,False,False,False,True,False,False,False,False,False
row_00055,PRD-4EYNIN,7.09,0.0791,Household,120.27,STORE-DKU,30,1508.35,False,True,False,True,False,True,False,False,True,False,False
row_00058,PRD-5R5L6R,6.555,0.0837,Frozen Foods,38.87,STORE-89Z,33,708.47,False,True,False,False,False,True,False,False,False,False,False
row_00059,PRD-UWE98S,7.621,0.0314,Frozen Foods,246.84,STORE-OYG,25,2697.04,False,True,False,True,False,True,False,False,False,False,True
row_00061,PRD-4CK9XH,12.451,0.1737,Household,169.29,STORE-JOR,34,166.62,False,False,False,False,True,True,False,False,False,True,False
row_00062,PRD-U02KQN,19.18,0.0263,HEALTH AND HYGIENE,147.39,STORE-YLW,35,1326.0,False,True,False,False,False,False,True,False,False,True,False
row_00063,PRD-RACGN7,12.850875916323977,0.0571,Health and Hygiene,78.4,STORE-7WS,47,243.24,True,False,False,False,True,True,False,False,False,False,False
row_00064,PRD-IS25HB,12.850875916323977,0.0,Soft Drinks,124.36,STORE-7WS,47,2425.1,True,False,False,False,True,True,False,False,True,False,False
row_00065,PRD-I3MWRM,16.69,0.0332,MEAT,162.93,STORE-YLW,35,2781.85,False,True,False,False,False,False,True,False,False,True,False
row_00066,PRD-FVHC3D,12.850875916323977,0.0729,Seafood,34.86,STORE-9RG,28,860.12,False,True,False,True,False,False,True,False,False,False,False
row_00067,PRD-1FT8J9,12.044,0.1446,Health and Hygiene,226.84,STORE-9RG,28,5075.98,False,True,False,True,False,False,True,False,False,False,True
row_00068,PRD-7MFP05,13.907,0.0347,soft drinks,39.85,STORE-9RG,28,785.78,False,True,False,True,False,False,True,False,False,False,False
row_00069,PRD-ULF5VL,5.676,0.0,Snack Foods,261.26,STORE-OYG,25,2506.74,False,True,False,True,False,True,False,True,False,False,True
row_00070,PRD-EPMKVT,19.59,0.0736,HEALTH AND HYGIENE,60.89,STORE-AGY,45,1368.79,False,True,False,False,True,False,False,False,False,False,False
row_00071,PRD-YUZ87C,12.850875916323977,0.0478,Baking Goods,151.04,STORE-T5G,47,144.06,False,False,False,False,False,False,True,False,False,True,False
row_00072,PRD-D9DSYZ,14.405,0.0619,Household,250.9,STORE-9RG,28,4664.21,False,True,False,True,False,False,True,False,False,False,True
row_00073,PRD-S57TCO,5.483,0.0505,Baking Goods,130.41,STORE-DKU,30,1261.85,False,True,False,True,False,True,False,True,True,False,False
row_00074,PRD-5I0GQM,18.504,0.1466,Breakfast,98.01,STORE-89Z,33,1460.81,False,True,False,False,False,True,False,False,True,False,False
row_00075,PRD-7G23CP,8.884,0.0804,CANNED,77.8,STORE-AGY,45,1298.22,False,True,False,False,True,False,False,False,False,False,False
row_00076,PRD-UJA86V,12.850875916323977,0.1194,Canned,87.7,STORE-7WS,47,1952.05,True,False,False,False,True,True,False,False,False,False,False
row_00077,PRD-FTNWN0,17.711,0.0,Breads,91.54,STORE-DKU,30,2233.42,False,True,False,True,False,True,False,False,False,False,False
row_00078,PRD-1ZUYZY,9.031,0.0458,fruits and vegetables,174.82,STORE-89Z,33,1322.14,False,True,False,False,False,True,False,True,False,True,False
row_00080,PRD-SNF69T,9.157,0.0,Household,54.3,STORE-89Z,33,572.48,False,True,False,False,False,True,False,False,False,False,False
row_00081,PRD-RDEXW2,12.850875916323977,0.0558,meat,144.58,STORE-7WS,47,3219.23,True,False,False,False,True,True,False,True,False,True,False
row_00083,PRD-BJD8BL,12.850875916323977,0.0,Breads,85.12,STORE-7WS,47,3126.13,True,False,False,False,True,True,False,True,False,False,False
row_00084,PRD-93OBAJ,8.128,0.0,Snack Foods,175.34,STORE-YLW,35,3970.56,False,True,False,False,False,False,True,True,False,True,False
row_00086,PRD-78ZC9Y,16.766,0.0566,Dairy,214.18,STORE-DKU,30,5062.54,False,True,False,True,False,True,False,False,False,False,True
row_00087,PRD-FUST21,5.421,0.1159,BAKING GOODS,87.2,STORE-OYG,25,1466.16,False,True,False,True,False,True,False,True,False,False,False
row_00088,PRD-CHPZ5T,18.844,0.0175,Health and Hygiene,205.61,STORE-DKU,30,2716.71,False,True,False,True,False,True,False,False,False,False,True
row_00089,PRD-VKXTUF,12.850875916323977,0.023,Fruits and Vegetables,97.52,STORE-7WS,47,3934.3,True,False,False,False,True,True,False,False,True,False,False
row_00090,PRD-ZOID71,12.850875916323977,0.0881,fruits and vegetables,225.97,STORE-7WS,47,1488.0,True,False,False,False,True,True,False,True,False,False,True
row_00092,PRD-VP8H4N,8.533,0.0938,Canned,53.71,STORE-YLW,35,1246.98,False,True,False,False,False,False,True,False,False,False,False
row_00093,PRD-6IUUKZ,10.933,0.0342,frozen foods,146.84,STORE-OYG,25,1888.59,False,True,False,True,False,True,False,True,False,True,False
row_00094,PRD-1UFH01,8.91,0.0832,snack foods,48.39,STORE-DKU,30,1109.47,False,True,False,True,False,True,False,True,False,False,False
row_00095,PRD-YZB4K8,17.373,0.0172,Fruits and Vegetables,48.83,STORE-89Z,33,1128.22,False,True,False,False,False,True,False,True,False,False,False
row_00096,PRD-NY1QEG,9.136,0.0363,frozen foods,61.56,STORE-AGY,45,374.51,False,True,False,False,True,False,False,False,False,False,False
row_00097,PRD-EVZUBR,17.349,0.058,Frozen Foods,42.98,STORE-89Z,33,280.77,False,True,False,False,False,True,False,False,False,False,False
row_00098,PRD-2MR4FX,17.486,0.0182,Health and Hygiene,97.88,STORE-HL7,23,1286.97,False,False,True,False,True,True,False,False,True,False,False
row_00099,PRD-1N8MTZ,19.413,0.0421,Dairy,44.58,STORE-JOR,34,47.21,False,False,False,False,True,True,False,False,False,False,False
row_00100,PRD-NKZGGE,13.66,0.0954,SNACK FOODS,151.97,STORE-OYG,25,3637.37,False,True,False,True,False,True,False,False,False,True,False
row_00101,PRD-1DSTWG,7.435,0.1465,Fruits and Vegetables,240.42,STORE-9RG,28,1735.6,False,True,False,True,False,False,True,False,False,False,True
row_00102,PRD-N5F62D,18.006,0.0134,FROZEN FOODS,255.56,STORE-HL7,23,3686.12,False,False,True,False,True,True,False,False,False,False,True
row_00103,PRD-UP0URE,12.211,0.0746,dairy,48.8,STORE-DKU,30,844.84,False,True,False,True,False,True,False,True,False,False,False
row_00106,PRD-AECEW6,16.386,0.0083,meat,70.84,STORE-OYG,25,716.68,False,True,False,True,False,True,False,True,False,False,False
row_00107,PRD-3KI24S,17.395,0.0165,Household,177.44,STORE-OYG,25,3739.88,False,True,False,True,False,True,False,False,False,True,False
row_00108,PRD-JZZGKE,10.607,0.0485,Dairy,46.93,STORE-YLW,35,578.16,False,True,False,False,False,False,True,True,False,False,False
row_00110,PRD-3UEA3G,15.576,0.1591,Dairy,37.05,STORE-YLW,35,623.16,False,True,False,False,False,False,True,False,False,False,False
row_00111,PRD-7IOABT,7.48,0.0867,Frozen Foods,144.11,STORE-OYG,25,3261.9,False,True,False,True,False,True,False,False,False,True,False
row_00112,PRD-O0V3Z0,20.2,0.1031,Canned,93.59,STORE-YLW,35,1961.44,False,True,False,False,False,False,True,True,True,False,False
row_00113,PRD-2X720K,12.850875916323977,0.053,Fruits and Vegetables,87.27,STORE-7WS,47,995.49,True,False,False,False,True,True,False,True,False,False,False
row_00114,PRD-1GXI9D,12.850875916323977,0.065,FROZEN FOODS,181.19,STORE-T5G,47,185.03,False,False,False,False,False,False,True,False,False,True,False
row_00116,PRD-SE05IT,12.850875916323977,0.058,Baking Goods,239.05,STORE-7WS,47,6745.85,True,False,False,False,True,True,False,False,False,False,True
row_00118,PRD-JJ4AL0,19.396,0.0419,Frozen Foods,111.52,STORE-OYG,25,2197.34,False,True,False,True,False,True,False,False,True,False,False
row_00121,PRD-0RH735,19.53,0.1888,Others,240.8,STORE-YLW,35,3291.28,False,True,False,False,False,False,True,False,False,False,True
row_00122,PRD-8NY9QX,17.181,0.1446,SNACK FOODS,149.82,STORE-DKU,30,2542.37,False,True,False,True,False,True,False,False,False,True,False
row_00124,PRD-4CYXQB,17.936,0.112,SNACK FOODS,184.51,STORE-89Z,33,4911.57,False,True,False,False,False,True,False,False,False,True,False
row_00126,PRD-2EZP7V,12.766,0.0329,Health and Hygiene,101.7,STORE-JOR,34,206.34,False,False,False,False,True,True,False,False,True,False,False
row_00127,PRD-UZET1P,13.252,0.0366,FRUITS AND VEGETABLES,170.03,STORE-9RG,28,3700.27,False,True,False,True,False,False,True,False,False,True,False
row_00128,PRD-LZBZ98,18.435,0.1631,health and hygiene,43.87,STORE-9RG,28,793.55,False,True,False,True,False,False,True,False,False,False,False
row_00129,PRD-YDT7CU,14.256,0.0641,Breads,261.85,STORE-OYG,25,6891.46,False,True,False,True,False,True,False,True,False,False,True
row_00131,PRD-IE2L2F,21.019,0.0374,Frozen Foods,75.79,STORE-YLW,35,2354.43,False,True,False,False,False,False,True,False,False,False,False
row_00133,PRD-1HOH9O,14.478,0.0259,Household,204.53,STORE-DKU,30,3771.21,False,True,False,True,False,True,False,False,False,False,True
row_00135,PRD-M58TL5,12.850875916323977,0.051,Frozen Foods,54.96,STORE-7WS,47,1120.28,True,False,False,False,True,True,False,False,False,False,False
row_00136,PRD-TT69UA,7.509,0.0501,Canned,121.22,STORE-DKU,30,372.75,False,True,False,True,False,True,False,False,True,False,False
row_00137,PRD-MSK8AG,18.193,0.0,dairy,187.28,STORE-AGY,45,2803.67,False,True,False,False,True,False,False,False,False,False,True
row_00138,PRD-H4CI9H,6.715,0.0,MEAT,173.46,STORE-OYG,25,4356.0,False,True,False,True,False,True,False,True,False,True,False
row_00140,PRD-P3WJRM,12.850875916323977,0.0337,Fruits and Vegetables,199.66,STORE-7WS,47,6227.02,True,False,False,False,True,True,False,False,False,False,True
row_00142,PRD-7CZE3S,7.372,0.0142,Meat,114.95,STORE-HL7,23,1779.63,False,False,True,False,True,True,False,False,True,False,False
row_00143,PRD-M3FQUK,9.115,0.0213,SNACK FOODS,155.39,STORE-89Z,33,2449.63,False,True,False,False,False,True,False,True,False,True,False
row_00145,PRD-EBEM2I,12.42,0.1014,FRUITS AND VEGETABLES,168.87,STORE-YLW,35,2499.05,False,True,False,False,False,False,True,True,False,True,False
row_00146,PRD-48PPNK,19.411,0.0159,Health and Hygiene,133.98,STORE-89Z,33,3139.66,False,True,False,False,False,True,False,False,True,False,False
row_00147,PRD-ZN1N5R,12.006,0.0335,Meat,198.96,STORE-9RG,28,3195.63,False,True,False,True,False,False,True,True,False,False,True
row_00148,PRD-12310X,8.348,0.0148,health and hygiene,182.18,STORE-DKU,30,2867.62,False,True,False,True,False,True,False,False,False,True,False
row_00149,PRD-7TV5ZK,7.03,0.1341,CANNED,113.25,STORE-OYG,25,3085.94,False,True,False,True,False,True,False,True,True,False,False
row_00150,PRD-FF5E8I,12.850875916323977,0.0683,Soft Drinks,180.97,STORE-T5G,47,184.24,False,False,False,False,False,False,True,False,False,True,False
row_00151,PRD-IGBM76,9.755,0.0459,BAKING GOODS,37.48,STORE-YLW,35,737.01,False,True,False,False,False,False,True,True,False,False,False
row_00152,PRD-MWWJPG,13.009,0.1565,Canned,79.3,STORE-HL7,23,1199.85,False,False,True,False,True,True,False,False,False,False,False
row_00153,PRD-HC0BPN,10.488,0.0572,fruits and vegetables,187.82,STORE-OYG,25,6922.78,False,True,False,True,False,True,False,True,False,False,True
row_00154,PRD-C2W953,17.489,0.0685,Snack Foods,92.8,STORE-JOR,34,198.35,False,False,False,False,True,True,False,True,False,False,False
row_00155,PRD-X7CODR,12.850875916323977,0.0149,Household,102.74,STORE-7WS,47,1804.48,True,False,False,False,True,True,False,False,True,False,False
row_00156,PRD-WTXI27,12.850875916323977,0.1305,Dairy,72.89,STORE-T5G,47,77.28,False,False,False,False,False,False,True,False,False,False,False
row_00157,PRD-DH02YH,10.239,0.0375,fruits and vegetables,248.96,STORE-AGY,45,7282.29,False,True,False,False,True,False,False,False,False,False,True
row_00158,PRD-2OQEWF,18.016,0.0347,OTHERS,129.81,STORE-89Z,33,1866.97,False,True,False,False,False,True,False,False,True,False,False
row_00159,PRD-WJRNZT,16.82,0.0406,household,166.17,STORE-DKU,30,1295.84,False,True,False,True,False,True,False,False,False,True,False
row_00160,PRD-WU16HY,12.850875916323977,0.187,Dairy,43.61,STORE-T5G,47,125.45,False,False,False,False,False,False,True,False,False,False,False
row_00161,PRD-74W4G2,15.839,0.0159,Frozen Foods,96.87,STORE-DKU,30,1093.52,False,True,False,True,False,True,False,True,True,False,False
row_00163,PRD-RYI0M7,10.286,0.0748,frozen foods,122.93,STORE-YLW,35,843.09,False,True,False,False,False,False,True,False,True,False,False
row_00164,PRD-9QWB0H,12.850875916323977,0.0242,BREADS,104.57,STORE-7WS,47,1981.4,True,False,False,False,True,True,False,False,True,False,False
row_00165,PRD-AV3JCJ,17.612,0.1199,breakfast,42.25,STORE-HL7,23,198.97,False,False,True,False,True,True,False,True,False,False,False
row_00166,PRD-B9UOE3,12.850875916323977,0.1617,Snack Foods,181.51,STORE-7WS,47,5603.33,True,False,False,False,True,True,False,False,False,True,False
row_00167,PRD-NMRS5Y,8.178,0.0,baking goods,94.07,STORE-HL7,23,647.35,False,False,True,False,True,True,False,False,True,False,False
row_00168,PRD-QWRZFX,6.586,0.0064,BAKING GOODS,118.14,STORE-HL7,23,1414.6,False,False,True,False,True,True,False,True,True,False,False
row_00169,PRD-K9LSG4,20.883,0.0537,SNACK FOODS,118.62,STORE-AGY,45,1884.91,False,True,False,False,True,False,False,False,True,False,False
row_00170,PRD-2LYWBI,12.850875916323977,0.156,Snack Foods,91.51,STORE-7WS,47,3801.19,True,False,False,False,True,True,False,False,False,False,False
row_00171,PRD-KSF4HT,11.816,0.0336,SEAFOOD,113.26,STORE-AGY,45,1662.15,False,True,False,False,True,False,False,False,True,False,False
row_00172,PRD-F88JRF,18.676,0.0634,FROZEN FOODS,146.35,STORE-HL7,23,2030.62,False,False,True,False,True,True,False,True,False,True,False
row_00173,PRD-PWKCZV,12.850875916323977,0.0312,Fruits and Vegetables,226.03,STORE-T5G,47,446.31,False,False,False,False,False,False,True,False,False,False,True
row_00174,PRD-A0IOEJ,8.074,0.0111,CANNED,193.3,STORE-YLW,35,1877.98,False,True,False,False,False,False,True,False,False,False,True
row_00175,PRD-YUXGFA,12.850875916323977,0.0374,SNACK FOODS,109.83,STORE-7WS,47,1428.31,True,False,False,False,True,True,False,True,True,False,False
row_00176,PRD-YVZMZC,8.093,0.1141,HOUSEHOLD,103.92,STORE-HL7,23,2500.23,False,False,True,False,True,True,False,False,True,False,False
row_00177,PRD-3HGG9C,20.645,0.0964,Household,183.27,STORE-DKU,30,3687.75,False,True,False,True,False,True,False,False,False,True,False
row_00178,PRD-LKS9L3,6.179,0.0519,Baking Goods,231.15,STORE-DKU,30,4318.28,False,True,False,True,False,True,False,True,False,False,True
row_00179,PRD-US5PUY,14.35,0.069,Fruits and Vegetables,48.02,STORE-YLW,35,848.18,False,True,False,False,False,False,True,False,False,False,False
row_00180,PRD-D9DSYZ,14.908,0.1001,HOUSEHOLD,260.63,STORE-JOR,34,1830.37,False,False,False,False,True,True,False,False,False,False,True
row_00181,PRD-2QPR75,14.061,0.1593,Dairy,55.03,STORE-JOR,34,215.7,False,False,False,False,True,True,False,False,False,False,False
row_00182,PRD-PQNOMP,16.953,0.0572,BAKING GOODS,96.66,STORE-89Z,33,1580.04,False,True,False,False,False,True,False,False,True,False,False
row_00183,PRD-W10HOA,12.850875916323977,0.0424,SNACK FOODS,95.34,STORE-7WS,47,2866.92,True,False,False,False,True,True,False,False,True,False,False
row_00184,PRD-6BH3LL,17.94,0.0785,Baking Goods,111.11,STORE-YLW,35,2509.35,False,True,False,False,False,False,True,False,True,False,False
row_00185,PRD-YZSJHT,12.850875916323977,0.0216,BREADS,104.6,STORE-7WS,47,3091.16,True,False,False,False,True,True,False,True,True,False,False
row_00186,PRD-1GXI9D,13.222,0.0598,Frozen Foods,177.97,STORE-JOR,34,184.57,False,False,False,False,True,True,False,False,False,True,False
row_00187,PRD-CU4YYJ,15.513,0.0798,CANNED,38.05,STORE-OYG,25,766.14,False,True,False,True,False,True,False,False,False,False,False
row_00188,PRD-R3PE29,12.850875916323977,0.1776,SOFT DRINKS,150.8,STORE-7WS,47,1808.1,True,False,False,False,True,True,False,False,False,True,False
row_00190,PRD-OEVB9O,6.24,0.0282,soft drinks,85.11,STORE-89Z,33,1334.36,False,True,False,False,False,True,False,False,False,False,False
row_00191,PRD-JMV47T,6.335,0.0102,meat,152.3,STORE-DKU,30,2400.39,False,True,False,True,False,True,False,True,False,True,False
row_00193,PRD-741NWE,9.695,0.1438,Baking Goods,49.26,STORE-YLW,35,838.54,False,True,False,False,False,False,True,True,False,False,False
row_00194,PRD-C5BV1L,14.883,0.0,Household,104.93,STORE-9RG,28,3519.17,False,True,False,True,False,False,True,False,True,False,False
row_00195,PRD-H0JJGG,19.212,0.1083,FROZEN FOODS,106.68,STORE-AGY,45,948.34,False,True,False,False,True,False,False,False,True,False,False
row_00196,PRD-MN8Z1H,11.217,0.0,Health and Hygiene,146.93,STORE-OYG,25,2435.01,False,True,False,True,False,True,False,False,False,True,False
row_00197,PRD-GV2TFK,7.076,0.0445,Health and Hygiene,101.01,STORE-DKU,30,1919.37,False,True,False,True,False,True,False,False,True,False,False
row_00198,PRD-6852FC,12.413,0.0161,Hard Drinks,175.85,STORE-HL7,23,913.35,False,False,True,False,True,True,False,False,False,True,False
row_00199,PRD-4RZCNO,6.192,0.0283,Household,112.17,STORE-OYG,25,1277.51,False,True,False,True,False,True,False,False,True,False,False
row_00200,PRD-1ZL2WT,13.636,0.0431,FRUITS AND VEGETABLES,157.97,STORE-OYG,25,5783.12,False,True,False,True,False,True,False,True,False,True,False
row_00201,PRD-BVGKP7,16.027,0.0,Fruits and Vegetables,97.59,STORE-OYG,25,850.06,False,True,False,True,False,True,False,True,True,False,False
row_00204,PRD-L6HYC1,7.008,0.0,Snack Foods,100.1,STORE-OYG,25,3298.71,False,True,False,True,False,True,False,True,True,False,False
row_00205,PRD-C5OAOO,7.565,0.1226,OTHERS,141.84,STORE-DKU,30,2411.51,False,True,False,True,False,True,False,False,True,False,False
row_00206,PRD-NNQFKP,15.274,0.1134,SOFT DRINKS,38.49,STORE-DKU,30,1153.01,False,True,False,True,False,True,False,False,False,False,False
row_00207,PRD-OGP0MY,9.277,0.0539,Baking Goods,77.61,STORE-AGY,45,814.66,False,True,False,False,True,False,False,True,False,False,False
row_00209,PRD-VW2RFX,6.419,0.0543,DAIRY,183.85,STORE-89Z,33,3658.16,False,True,False,False,False,True,False,False,False,True,False
row_00211,PRD-0MUOHU,16.838,0.0561,breads,82.64,STORE-OYG,25,563.26,False,True,False,True,False,True,False,False,False,False,False
row_00212,PRD-YHVNT3,9.335,0.0408,Others,88.14,STORE-89Z,33,1039.19,False,True,False,False,False,True,False,False,False,False,False
row_00213,PRD-V5WMKZ,6.373,0.0658,Breakfast,130.5,STORE-HL7,23,541.32,False,False,True,False,True,True,False,False,True,False,False
row_00214,PRD-OGP0MY,9.147,0.05,Baking Goods,79.45,STORE-89Z,33,886.31,False,True,False,False,False,True,False,True,False,False,False
row_00215,PRD-24Z860,12.850875916323977,0.0206,frozen foods,91.81,STORE-T5G,47,263.91,False,False,False,False,False,False,True,True,False,False,False
row_00216,PRD-R0T4EX,12.515,0.0718,starchy foods,268.54,STORE-9RG,28,4974.75,False,True,False,True,False,False,True,False,False,False,True
row_00217,PRD-NKZGGE,12.850875916323977,0.0,Snack Foods,147.42,STORE-7WS,47,4992.06,True,False,False,False,True,True,False,False,False,True,False
row_00218,PRD-X272HP,4.482,0.0698,Soft Drinks,111.86,STORE-AGY,45,1466.86,False,True,False,False,True,False,False,False,True,False,False
row_00219,PRD-O69WEZ,12.850875916323977,0.0075,dairy,149.51,STORE-7WS,47,4301.63,True,False,False,False,True,True,False,True,False,True,False
row_00221,PRD-ETAGHN,6.667,0.0228,Snack Foods,204.07,STORE-DKU,30,2187.53,False,True,False,True,False,True,False,True,False,False,True
row_00222,PRD-T0VKG3,12.850875916323977,0.0479,HOUSEHOLD,126.18,STORE-7WS,47,7078.04,True,False,False,False,True,True,False,False,True,False,False
row_00223,PRD-V3ISY0,11.241,0.0096,Health and Hygiene,50.53,STORE-89Z,33,928.71,False,True,False,False,False,True,False,False,False,False,False
row_00224,PRD-JKU72H,16.636,0.1071,Canned,98.28,STORE-HL7,23,1852.98,False,False,True,False,True,True,False,False,True,False,False
row_00225,PRD-8449K6,12.850875916323977,0.0761,fruits and vegetables,212.55,STORE-7WS,47,7367.73,True,False,False,False,True,True,False,True,False,False,True
row_00226,PRD-C5BDFU,6.335,0.0321,DAIRY,177.69,STORE-AGY,45,4289.55,False,True,False,False,True,False,False,False,False,True,False
row_00227,PRD-RDW6ET,8.992,0.0724,Fruits and Vegetables,192.77,STORE-YLW,35,1359.58,False,True,False,False,False,False,True,True,False,False,True
row_00228,PRD-RVU8FI,14.557,0.1913,Soft Drinks,82.41,STORE-HL7,23,1193.34,False,False,True,False,True,True,False,False,False,False,False
row_00229,PRD-HEZ5ED,12.850875916323977,0.0,Hard Drinks,173.74,STORE-7WS,47,6010.58,True,False,False,False,True,True,False,False,False,True,False
row_00230,PRD-1FT8J9,12.148,0.1392,Health and Hygiene,227.69,STORE-AGY,45,1774.4,False,True,False,False,True,False,False,False,False,False,True
